##--Author      JRM Annand   29th Apr 2003
##--Update      R Gregor...
##--Description
##                *** Acqu++ <-> Root ***
## Online/Offline Analysis of Sub-Atomic Physics Experimental Data
##
## Parameter File: TAPS_BaF2.dat
## Setup of decoding of BaF2 information
##
##-----------------------------------------------------------------------
## Total # Elements in array, Pulse-Height info? Time info? Position info?
## Info switch is off/on = 0/1
##      Total   Energy? Time?   Position?
#
Size:  384    1       1       1
#RawHits:
#BitPattern: data/Dec_07/TAPS/TAPS.pat
#
#
#
# Now enter the information for each element....if the number of
# elements is specified as 10 above then there must be 10 element spec lines
# ADCs low,high define in MeV the range of a valid hit.
# ped is the zero-point offset channel and MeV/ch is the ADC conversionsion
# TDCs low, high define in ns the range of a valid hit.
# Off is the time-zero offset channel and ns/ch is the conversion gain.
# Pos 3-vector usually relates to the center of the front face of a crystal
# assuming origin at center of target, beam in z-direction
# with Bene's calib-files
#        ADC#  low  high ped  MeV/ch  TDC#  low/high Off ns/ch  Pos x,y,z (cm)
Element: 26001  0.01 20. 87.1871	0.0122966     26301  -200.0  200.0 2961.1422  0.050   -5.196152    3.000000  146.350000 
Element: 26002  0.01 20. 85.3024	0.010013      26302  -200.0  200.0 2958.3795  0.050  -10.392304    6.000000  146.350000
Element: 26003  0.01 20. 85.1834	0.0138866     26303  -200.0  200.0 2852.6611  0.050  -10.392304    0.000000  146.350000
Element: 26004  0.01 20. 85.3448	0.0103314     26304  -200.0  200.0 2949.7220  0.050  -15.588456    9.000000  146.350000
Element: 26005  0.01 20. 85.8153	0.00984312    26305  -200.0  200.0 2948.2659  0.050  -15.588456    3.000000  146.350000
Element: 26006  0.01 20. 85.5478	0.0105943     26306  -200.0  200.0 2955.8684  0.050  -15.588456   -3.000000  146.350000
Element: 26007  0.01 20. 84.9716	0.0102288     26307  -200.0  200.0 2941.6130  0.050  -20.784609   12.000000  146.350000
Element: 26008  0.01 20. 84.7105	0.00994003    26308  -200.0  200.0 2937.3597  0.050  -20.784609    6.000000  146.350000
Element: 26009  0.01 20. 84.9818	0.0117305     26309  -200.0  200.0 2966.0171  0.050  -20.784609    0.000000  146.350000
Element: 26010  0.01 20. 83.7683	0.0109925     26310  -200.0  200.0 2943.6221  0.050  -20.784609   -6.000000  146.350000
Element: 26011  0.01 20. 85.8727	0.0110739     26311  -200.0  200.0 2959.9750  0.050  -25.980761   15.000000  146.350000
Element: 26012  0.01 20. 85.1367	0.00826098    26312  -200.0  200.0 2965.3668  0.050  -25.980761    9.000000  146.350000
Element: 26013  0.01 20. 86.0938	0.0121733     26313  -200.0  200.0 2942.8954  0.050  -25.980761    3.000000  146.350000
Element: 26014  0.01 20. 85.8233	0.00852893    26314  -200.0  200.0 2915.8923  0.050  -25.980761   -3.000000  146.350000
Element: 26015  0.01 20. 85.6073	0.00867719    26315  -200.0  200.0 2954.6204  0.050  -25.980761   -9.000000  146.350000
Element: 26016  0.01 20. 85.1919	0.0142287     26316  -200.0  200.0 2988.5337  0.050  -31.176912   18.000000  146.350000
Element: 26017  0.01 20. 85.3892	0.00946443    26317  -200.0  200.0 2896.8220  0.050  -31.176912   12.000000  146.350000
Element: 26018  0.01 20. 86.1738	0.00959889    26318  -200.0  200.0 2886.8682  0.050  -31.176912    6.000000  146.350000
Element: 26019  0.01 20. 85.8162	0.0112418     26319  -200.0  200.0 2923.4324  0.050  -31.176912    0.000000  146.350000
Element: 26020  0.01 20. 84.6946	0.0121278     26320  -200.0  200.0 2894.5161  0.050  -31.176912   -6.000000  146.350000
Element: 26021  0.01 20. 86.6273	0.00888232    26321  -200.0  200.0 2889.4531  0.050  -31.176912  -12.000000  146.350000
Element: 26022  0.01 20. 86.2395	0.00883136    26322  -200.0  200.0 2887.7325  0.050  -36.373062   21.000000  146.350000
Element: 26023  0.01 20. 86.4092	0.00924851    26323  -200.0  200.0 2889.9530  0.050  -36.373062   15.000000  146.350000
Element: 26024  0.01 20. 86.5033	0.00829828    26324  -200.0  200.0 2818.8622  0.050  -36.373062    9.000000  146.350000
Element: 26025  0.01 20. 84.8983	0.0110216     26325  -200.0  200.0 2946.9215  0.050  -36.373062    3.000000  146.350000
Element: 26026  0.01 20. 86.4433	0.00862153    26326  -200.0  200.0 2971.6916  0.050  -36.373062   -3.000000  146.350000
Element: 26027  0.01 20. 85.9555	0.0108203     26327  -200.0  200.0 2937.6077  0.050  -36.373062   -9.000000  146.350000
Element: 26028  0.01 20. 86.4397	0.0108759     26328  -200.0  200.0 2963.7246  0.050  -36.373062  -15.000000  146.350000
Element: 26029  0.01 20. 85.8885	0.112551      26329  -200.0  200.0 2918.0670  0.050  -41.569218   24.000000  146.350000
Element: 26030  0.01 20. 86.2298	0.00654212    26330  -200.0  200.0 2945.0212  0.050  -41.569218   18.000000  146.350000
Element: 26031  0.01 20. 85.692	0.0636405      26331  -200.0  200.0 2958.5634  0.050  -41.569218   12.000000  146.350000
Element: 26037  0.01 20. 84.9145	0.0261939     26337  -200.0  200.0 2813.8705  0.050  -41.569218    6.000000  146.350000
Element: 26033  0.01 20. 85.6329	0.00709373    26333  -200.0  200.0 2954.4384  0.050  -41.569218    0.000000  146.350000
Element: 26034  0.01 20. 85.6371	0.00737693    26334  -200.0  200.0 2911.5118  0.050  -41.569218   -6.000000  146.350000
Element: 26035  0.01 20. 85.9607	0.00783581    26335  -200.0  200.0 2913.4413  0.050  -41.569218  -12.000000  146.350000
Element: 26036  0.01 20. 86.1685	0.00844448    26336  -200.0  200.0 2926.5240  0.050  -41.569218  -18.000000  146.350000
Element: 26032  0.01 20. 84.8684	0.00940417    26332  -200.0  200.0 2852.0983  0.050  -46.765369   27.000000  146.350000
Element: 26038  0.01 20. 86.1568	0.00832688    26338  -200.0  200.0 2871.0139  0.050  -46.765369   21.000000  146.350000
Element: 26039  0.01 20. 85.5979	0.00736541    26339  -200.0  200.0 2942.8284  0.050  -46.765369   15.000000  146.350000
Element: 26040  0.01 20. 86.1953	0.00806666    26340  -200.0  200.0 2841.5144  0.050  -46.765369    9.000000  146.350000
Element: 26041  0.01 20. 86.1796	0.00785147    26341  -200.0  200.0 2994.7473  0.050  -46.765369    3.000000  146.350000
